"","X","AGLOMERADO","nombre_aglomerado","lon","lat","REGION","NOMBRE","GRADO_HACINAMIENTO","cantidad_hogares","per_hog_hac"
"44",23,29,"Gran Tucumán - Tafi Viejo",-65.2403868847364,-26.80235268772,"Noroeste","Gran Tucuman - T. Viejo","-2.9 personas por dormitorio",238767,91.8168638746073
"45",23,29,"Gran Tucumán - Tafi Viejo",-65.2403868847364,-26.80235268772,"Noroeste","Gran Tucuman - T. Viejo","+3 personas por dormitorio",21280,8.18313612539272
"46",24,30,"Santa Rosa - Toay",-64.2991226329169,-36.6097358844188,"Pampeana","Santa Rosa - Toay","-2.9 personas por dormitorio",41973,92.2990654205607
"47",24,30,"Santa Rosa - Toay",-64.2991226329169,-36.6097358844188,"Pampeana","Santa Rosa - Toay","+3 personas por dormitorio",3502,7.70093457943925
"48",25,31,"Ushuaia - Rio Grande",-68.0176663933451,-54.2993137435832,"Patagonica.","Ushuaia - Rio Grande","-2.9 personas por dormitorio",52787,98.1079825295047
"49",25,31,"Ushuaia - Rio Grande",-68.0176663933451,-54.2993137435832,"Patagonica.","Ushuaia - Rio Grande","+3 personas por dormitorio",1018,1.89201747049531
"50",26,32,"CABA",-58.4463944409484,-34.6145014135059,"Gran Buenos Aires","Ciudad de Buenos Aires","-2.9 personas por dormitorio",1256690,97.9764471073446
"51",26,32,"CABA",-58.4463944409484,-34.6145014135059,"Gran Buenos Aires","Ciudad de Buenos Aires","+3 personas por dormitorio",25955,2.02355289265541
"52",27,33,"Partidos del GBA",-58.5887833900772,-34.5831388052051,"Gran Buenos Aires","Partidos del GBA","-2.9 personas por dormitorio",3622776,93.2772382256918
"53",27,33,"Partidos del GBA",-58.5887833900772,-34.5831388052051,"Gran Buenos Aires","Partidos del GBA","+3 personas por dormitorio",261104,6.72276177430817
"54",28,34,"Mar del Plata - Batán",-57.5964505909473,-38.004253155701,"Pampeana","Mar del Plata - Batan","-2.9 personas por dormitorio",249663,98.0986396963482
